mechanism_tag,mechanism,alpha,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post,env_steps
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,0,1.0,1,1.0,0.5019731,1.00588,0.09865519,0.09865519,1.0,0.0019731037,0.02,-26.322607,2.2129803,0.7376601,0.17,0.0,0.1406561,0.0,0.0,3200
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,1,1.0,2,0.5019731,0.003816508,1.0354067,0.092170775,0.092170775,1.0,0.0018434154,0.02,-27.19927,2.2779403,0.75931346,0.24000001,0.0,0.13793102,0.0,0.0,6400
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,2,0.0,2,0.003816508,0.0058546914,0.9917867,0.101909176,0.101909176,1.0,0.0020381834,0.02,-26.019754,2.1819744,0.72732484,0.15200001,0.0,0.13082676,0.0,0.03,9600
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,3,0.0,2,0.0058546914,0.007809208,0.99370456,0.10146014,0.10146014,1.0,0.0019545166,0.019263888,-27.323154,2.1861937,0.7287313,0.16000001,0.0,0.13336188,0.03,0.06,12800
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,4,0.0,2,0.007809208,0.007809208,1.0722753,0.0,0.08466905,0.0,0.0,0.01855487,-27.838577,2.3590527,0.7863509,0.096,0.0,0.14840502,0.06,0.089999996,16000
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,5,0.0,2,0.007809208,0.009557974,1.0094402,0.097849764,0.097849764,1.0,0.0017487657,0.017871946,-26.561377,2.2208128,0.740271,0.16000001,0.0,0.1580116,0.089999996,0.12,19200
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,6,0.0,2,0.009557974,0.011201462,1.0201191,0.09547307,0.09547307,1.0,0.0016434886,0.017214159,-27.306166,2.2443068,0.7481023,0.216,0.008,0.17779735,0.12,0.14999999,22400
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,7,0.0,2,0.011201462,0.012691789,1.0463179,0.08988393,0.08988393,1.0,0.0014903279,0.016580582,-27.556913,2.3019454,0.76731515,0.17600001,0.008,0.15537989,0.14999999,0.17999999,25600
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,8,0.0,2,0.012691789,0.014204772,1.0234797,0.09473714,0.09473714,1.0,0.0015129828,0.015970323,-27.525427,2.2517004,0.75056684,0.18400002,0.0,0.14523557,0.17999999,0.21,28800
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,9,0.0,2,0.014204772,0.014204772,1.06656,0.0,0.08579064,0.0,0.0,0.015382528,-27.539244,2.346479,0.7821597,0.16000001,0.0,0.14567356,0.21,0.24,32000
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,10,0.0,2,0.014204772,0.015683504,1.0008522,0.09980395,0.09980395,1.0,0.0014787315,0.014816363,-27.446363,2.2019188,0.73397297,0.14400001,0.0,0.15912569,0.24,0.26999998,35200
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,11,0.0,2,0.015683504,0.017009214,1.0320069,0.092895165,0.092895165,1.0,0.0013257107,0.01427104,-27.137068,2.2704604,0.75682014,0.16000001,0.0,0.16092224,0.26999998,0.29999998,38400
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,12,0.0,2,0.017009214,0.018467542,0.97431415,0.10609278,0.10609278,1.0,0.0014583287,0.013745786,-26.229753,2.143534,0.71451133,0.14400001,0.0,0.13180904,0.29999998,0.32999998,41600
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,13,0.0,2,0.018467542,0.019653002,1.0479963,0.08953723,0.08953723,1.0,0.0011854608,0.013239864,-27.449257,2.3056378,0.768546,0.19999999,0.0,0.16590956,0.32999998,0.35999998,44800
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,14,0.0,2,0.019653002,0.019653002,1.0546831,0.0,0.0881692,0.0,0.0,0.012752563,-27.634941,2.3203492,0.7734498,0.128,0.0,0.119170584,0.35999998,0.39,48000
hardzero_plus_depr__c0p50__z1p05__lam0p030__nu0p50__psi1p25,hardzero_plus_depr,0.02,36,15,0.0,2,0.019653002,0.020782046,1.0366006,0.09191775,0.09191775,1.0,0.0011290439,0.012283198,-27.87776,2.280567,0.760189,0.16800001,0.0,0.15292893,0.39,0.42,51200
