seed,late_window_updates,rho_seed,active_seed,late_update_count_seed,active_blocks_seed,sustained_active_seed,bursty_only_seed,late_mean_energy_E_post,final_energy_E_post,late_mean_depr_F_post,final_depr_F_post,late_mean_funding_g,final_funding_g,late_mean_episode_return_end_mean,final_episode_return_end_mean,late_mean_update_counter,final_update_counter,alpha
30,313,0.0,0,0.0,0,0,0,0.5711285999999999,0.5711286,10.930154798722045,12.4901905,0.09010929533865815,0.08767161,-27.38114111501598,-27.642984,1.0,1.0,0.02
31,313,0.0,0,0.0,0,0,0,0.56637865,0.56637865,10.930154798722045,12.4901905,0.08967146895527156,0.087416805,-27.357048067092652,-28.243717,1.0,1.0,0.02
32,313,0.0,0,0.0,0,0,0,0.5675852299999999,0.56758523,10.930154798722045,12.4901905,0.09154113614376996,0.09466266,-27.28929687859425,-26.595474,1.0,1.0,0.02
33,313,0.0,0,0.0,0,0,0,0.5700571,0.5700571,10.930154798722045,12.4901905,0.09334244685623003,0.10433066,-27.26351985942492,-27.032078,1.0,1.0,0.02
34,313,0.0,0,0.0,0,0,0,0.567107,0.567107,10.930154798722045,12.4901905,0.0909228562971246,0.0904404,-27.39756859744409,-26.623798,1.0,1.0,0.02
35,313,0.0,0,0.0,0,0,0,0.5727732000000001,0.5727732,10.930154798722045,12.4901905,0.09233159822364218,0.09285252,-27.26931906389777,-27.98392,1.0,1.0,0.02
36,313,0.0,0,0.0,0,0,0,0.56091374,0.56091374,10.930154798722045,12.4901905,0.08738313825559106,0.0,-27.473348594249202,-29.332767,1.0,1.0,0.02
37,313,0.0,0,0.0,0,0,0,0.5725927999999999,0.5725928,10.930154798722045,12.4901905,0.09125309982747604,0.09449371,-27.312763610223644,-27.021425,1.0,1.0,0.02
38,313,0.0,0,0.0,0,0,0,0.5588544999999999,0.5588545,10.930154798722045,12.4901905,0.08778127272204474,0.08699901,-27.50445204792332,-28.26887,1.0,1.0,0.02
39,313,0.0,0,0.0,0,0,0,0.5643940000000001,0.564394,10.930154798722045,12.4901905,0.0888321314600639,0.08968824,-27.285574287539937,-26.973747,1.0,1.0,0.02
40,313,0.0,0,0.0,0,0,0,0.5654915000000001,0.5654915,10.930154798722045,12.4901905,0.09153240952076679,0.08558963,-27.37603512140575,-28.267641,1.0,1.0,0.02
41,313,0.0,0,0.0,0,0,0,0.5673367999999999,0.5673368,10.930154798722045,12.4901905,0.09117722899680511,0.09067619,-27.37012322364217,-28.060936,1.0,1.0,0.02
