mechanism_tag,mechanism,alpha,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post,env_steps
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,0,1.0,1,1.0,0.42000002,1.10007,0.0,0.07942002,0.0,0.0,0.075,-28.331669,2.4202023,0.8067341,0.14,0.0,0.17724389,0.0,0.0,3200
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,1,0.0,1,0.42000002,0.42000002,1.1076319,0.0,0.07804913,0.0,0.0,0.075,-28.46121,2.4368389,0.81227964,0.072000004,0.0,0.15844944,0.0,0.0,6400
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,2,0.0,1,0.42000002,0.42794198,0.9751338,0.105892755,0.105892755,1.0,0.007941957,0.075,-26.582037,2.145337,0.7151124,0.192,0.0,0.14266907,0.0,0.0,9600
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,3,0.0,1,0.42794198,0.42794198,1.089546,0.0,0.08136807,0.0,0.0,0.075,-28.641094,2.397049,0.79901636,0.17600001,0.0,0.15773097,0.0,0.0,12800
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,4,0.0,1,0.42794198,0.42794198,1.0113858,0.0,0.09741239,0.0,0.0,0.075,-26.775578,2.2250931,0.7416977,0.15200001,0.0,0.13901955,0.0,0.0,16000
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,5,0.0,1,0.42794198,0.42794198,1.0149488,0.0,0.09661646,0.0,0.0,0.075,-27.333021,2.232932,0.74431074,0.18400002,0.0,0.14970592,0.0,0.0,19200
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,6,0.0,1,0.42794198,0.42794198,1.0420709,0.0,0.09076723,0.0,0.0,0.075,-27.692158,2.2926016,0.76420057,0.18400002,0.0,0.16256313,0.0,0.0,22400
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,7,0.0,1,0.42794198,0.42794198,1.001345,0.0,0.099690765,0.0,0.0,0.075,-26.944233,2.2030032,0.7343344,0.120000005,0.0,0.14192733,0.0,0.0,25600
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,8,0.0,1,0.42794198,0.42794198,1.0477537,0.0,0.089587264,0.0,0.0,0.075,-26.926748,2.3051043,0.7683681,0.17600001,0.0,0.14788452,0.0,0.0,28800
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,9,0.0,1,0.42794198,0.43546757,0.9985198,0.100341424,0.100341424,1.0,0.007525607,0.075,-27.407125,2.1967874,0.7322625,0.120000005,0.0,0.1465256,0.0,0.0,32000
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,10,0.0,1,0.43546757,0.43546757,1.0314924,0.0,0.09300529,0.0,0.0,0.075,-27.079874,2.2693286,0.7564429,0.14400001,0.0,0.14729822,0.0,0.0,35200
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,11,0.0,1,0.43546757,0.43546757,1.03766,0.0,0.091693796,0.0,0.0,0.075,-26.960928,2.2828977,0.76096594,0.15200001,0.0,0.12876502,0.0,0.0,38400
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,12,0.0,1,0.43546757,0.43546757,1.0212888,0.0,0.0952163,0.0,0.0,0.075,-27.627201,2.24688,0.74896,0.216,0.008,0.15475799,0.0,0.0,41600
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.075,50,13,0.0,1,0.43546757,0.44368765,0.96018595,0.10960089,0.10960089,1.0,0.008220067,0.075,-27.149382,2.1124513,0.70415044,0.12,0.0,0.13079406,0.0,0.0,44800
