mechanism_tag,alpha,family,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,energy_E_raw,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,0,1.0,1,1.0,0.4248,0.4248,1.0739973,0.0,0.084334016,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-27.958464,2.3628411,0.78761375,0.17999999,0.0,0.15948392,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,1,0.0,1,0.4248,0.4296,0.4296,1.0724891,0.0,0.08462738,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-28.132221,2.3595233,0.7865078,0.136,0.0,0.14916873,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,2,0.0,1,0.4296,0.4344,0.4344,1.0247953,0.0,0.094450586,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-26.762012,2.2545946,0.75153154,0.128,0.0,0.13993248,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,3,0.0,1,0.4344,0.43919998,0.43919998,1.0218152,0.0,0.09510095,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-27.811333,2.2480383,0.74934614,0.128,0.0,0.15757243,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,4,0.0,1,0.43919998,0.44399998,0.44399998,1.0129087,0.0,0.097071394,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-27.01932,2.2284436,0.74281454,0.216,0.0,0.14274544,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,5,0.0,1,0.44399998,0.44879997,0.44879997,1.1063346,0.0,0.078282624,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-28.404078,2.4339848,0.8113283,0.08800001,0.0,0.144222,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,6,0.0,1,0.44879997,0.45359996,0.45359996,1.0270176,0.0,0.093968526,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-27.575981,2.2594838,0.7531613,0.120000005,0.0,0.15643002,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,7,0.0,1,0.45359996,0.45839995,0.45839995,1.0223575,0.0,0.09498226,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-27.840498,2.2492313,0.7497438,0.16000001,0.0,0.17608269,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,8,0.0,1,0.45839995,0.46988782,0.46988782,0.98089254,0.10449787,0.10449787,1.0,0.011487864,0.064,0.0048,0.0,0.0,0.0,-26.798449,2.1580067,0.71933556,0.2,0.0,0.15097678,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,9,0.0,1,0.46988782,0.4746878,0.4746878,1.0424685,0.0,0.09068417,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-27.740341,2.2934766,0.7644922,0.16800001,0.0,0.17796504,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,10,0.0,1,0.4746878,0.4794878,0.4794878,1.0235703,0.0,0.094717376,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-26.642384,2.2518997,0.75063324,0.136,0.0,0.15469615,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,11,0.0,1,0.4794878,0.49115574,0.49115574,0.96935374,0.1073115,0.1073115,1.0,0.011667937,0.064,0.0048,0.0,0.0,0.0,-26.187553,2.1326208,0.7108736,0.16800001,0.0,0.12549242,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,12,0.0,1,0.49115574,0.49595574,0.49595574,1.0914868,0.0,0.08100525,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-28.310148,2.401319,0.8004397,0.128,0.0,0.1475675,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,13,0.0,1,0.49595574,0.5007557,0.5007557,1.0612545,0.0,0.08684513,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-27.350943,2.3348064,0.7782688,0.14999999,0.0,0.12891197,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,14,0.0,1,0.5007557,0.50555575,0.50555575,1.0059901,0.0,0.09863019,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-25.963255,2.2132225,0.7377409,0.120000005,0.0,0.13114542,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,15,0.0,1,0.50555575,0.5103558,0.5103558,1.0471925,0.0,0.08970311,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-27.617239,2.3038695,0.7679565,0.17600001,0.0,0.14951158,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,16,0.0,1,0.5103558,0.5151558,0.5151558,1.0489609,0.0,0.089338586,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-27.37849,2.30776,0.7692534,0.15200001,0.0,0.14405099,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,17,0.0,1,0.5151558,0.5199558,0.5199558,1.0852445,0.0,0.08217797,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-27.686272,2.3875856,0.7958619,0.15200001,0.0,0.15779617,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,18,0.0,1,0.5199558,0.52475584,0.52475584,1.0476716,0.0,0.08960421,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-27.862703,2.3049235,0.76830786,0.192,0.0,0.1634074,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,19,0.0,1,0.52475584,0.52955586,0.52955586,1.0165049,0.0,0.09627091,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-27.498524,2.2363553,0.7454518,0.112,0.0,0.14142181,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.064,support,34,20,0.0,1,0.52955586,0.5343559,0.5343559,1.0236943,0.0,0.094690345,0.0,0.0048,0.064,0.0048,0.0,0.0,0.0,-26.530403,2.2521725,0.7507242,0.18400002,0.0,0.12926921,0.0,0.0
