mechanism_tag,mechanism,alpha,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post,env_steps
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,0,1.0,1,1.0,0.4077142,1.0157976,0.096427836,0.096427836,1.0,0.007714227,0.08,-27.423994,2.2347994,0.7449331,0.19999999,0.0,0.15954061,0.0,0.0,3200
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,1,0.0,1,0.4077142,0.4149442,1.0439509,0.090375155,0.090375155,1.0,0.007230012,0.08,-27.942667,2.296738,0.76557934,0.17600001,0.0,0.1457079,0.0,0.0,6400
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,2,0.0,1,0.4149442,0.4223167,1.0354754,0.09215621,0.09215621,1.0,0.0073724966,0.08,-27.160028,2.2780914,0.75936383,0.112,0.0,0.16250852,0.0,0.0,9600
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,3,0.0,1,0.4223167,0.43028027,1.0019817,0.09954473,0.09954473,1.0,0.007963578,0.08,-27.186563,2.2044039,0.7348013,0.17600001,0.0,0.17438948,0.0,0.0,12800
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,4,0.0,1,0.43028027,0.43028027,1.1055894,0.0,0.07841707,0.0,0.0,0.08,-28.573126,2.4323452,0.8107817,0.14400001,0.0,0.17196593,0.0,0.0,16000
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,5,0.0,1,0.43028027,0.43679,1.089527,0.08137162,0.08137162,1.0,0.0065097297,0.08,-28.569685,2.3970072,0.7990024,0.14400001,0.0,0.19502284,0.0,0.0,19200
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,6,0.0,1,0.43679,0.4443709,1.0233694,0.0947612,0.0947612,1.0,0.007580896,0.08,-27.411627,2.2514577,0.7504859,0.096,0.0,0.16113259,0.0,0.0,22400
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,7,0.0,1,0.4443709,0.45145965,1.052521,0.08860924,0.08860924,1.0,0.007088739,0.08,-27.87015,2.3155925,0.7718642,0.2,0.0,0.18065763,0.0,0.0,25600
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,8,0.0,1,0.45145965,0.4588499,1.0344305,0.09237819,0.09237819,1.0,0.007390255,0.08,-27.482212,2.2757926,0.75859755,0.15200001,0.0,0.15585855,0.0,0.0,28800
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,9,0.0,1,0.4588499,0.4657844,1.0620744,0.08668132,0.08668132,1.0,0.0069345054,0.08,-27.517317,2.3366103,0.7788701,0.120000005,0.0,0.20588,0.0,0.0,32000
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,10,0.0,1,0.4657844,0.47337225,1.0229708,0.094848216,0.094848216,1.0,0.007587857,0.08,-26.852594,2.2505808,0.7501936,0.208,0.0,0.13274714,0.0,0.0,35200
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,11,0.0,1,0.47337225,0.4806833,1.0391104,0.09138809,0.09138809,1.0,0.007311047,0.08,-27.872744,2.2860885,0.7620295,0.15200001,0.0,0.205776,0.0,0.0,38400
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,12,0.0,1,0.4806833,0.48848316,1.0110022,0.09749848,0.09749848,1.0,0.007799878,0.08,-26.53994,2.2242491,0.7414164,0.16800001,0.0,0.14868143,0.0,0.0,41600
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,13,0.0,1,0.48848316,0.4958323,1.0368544,0.09186406,0.09186406,1.0,0.007349124,0.08,-27.921701,2.281125,0.760375,0.13,0.0,0.16520788,0.0,0.0,44800
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,14,0.0,1,0.4958323,0.5030604,1.0440638,0.09035167,0.09035167,1.0,0.0072281337,0.08,-27.599255,2.2969863,0.76566213,0.14400001,0.0,0.16310889,0.0,0.0,48000
hardzero_only__c0p60__z1p10__lam0p000__nu0p50__psi0p00,hardzero_only,0.08,41,15,0.0,1,0.5030604,0.51033646,1.041195,0.09095047,0.09095047,1.0,0.0072760372,0.08,-27.159983,2.290675,0.7635583,0.112,0.0,0.17048699,0.0,0.0,51200
