mechanism_tag,mechanism,alpha,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post,env_steps
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.06,35,0,1.0,1,1.0,0.45999998,1.0474522,0.0,0.08964948,0.0,0.0,0.06,-26.624817,2.304441,0.768147,0.089999996,0.0,0.14206287,0.0,0.0,3200
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.06,35,1,0.0,1,0.45999998,0.45999998,1.0620959,0.0,0.086677045,0.0,0.0,0.06,-28.354856,2.3366575,0.77888584,0.16800001,0.0,0.1352841,0.0,0.02,6400
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.06,35,2,0.0,1,0.45999998,0.4661078,0.98575085,0.10333542,0.10333542,1.0,0.006107817,0.059106715,-26.21415,2.1686952,0.7228984,0.16000001,0.0,0.120542884,0.02,0.04,9600
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.06,35,3,0.0,1,0.4661078,0.4661078,1.0420184,0.0,0.0907782,0.0,0.0,0.058226734,-27.672953,2.2924862,0.76416206,0.096,0.0,0.13700241,0.04,0.06,12800
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.06,35,4,0.0,1,0.4661078,0.4721115,0.9801893,0.10466721,0.10466721,1.0,0.0060036955,0.057359852,-26.410032,2.1564596,0.71881986,0.16800001,0.0,0.13635896,0.06,0.08,16000
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.06,35,5,0.0,1,0.4721115,0.4721115,1.0383565,0.0,0.091546856,0.0,0.0,0.056505874,-27.694408,2.28443,0.7614767,0.112,0.0,0.17463589,0.08,0.099999994,19200
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.06,35,6,0.0,1,0.4721115,0.4721115,1.0384898,0.0,0.09151876,0.0,0.0,0.055664614,-27.663412,2.2847233,0.76157445,0.14400001,0.0,0.15399003,0.099999994,0.11999999,22400
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.06,35,7,0.0,1,0.4721115,0.4721115,1.0330948,0.0,0.092662744,0.0,0.0,0.054835875,-26.961267,2.2728539,0.75761795,0.18400002,0.0,0.16334605,0.11999999,0.13999999,25600
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.06,35,8,0.0,1,0.4721115,0.4721115,1.0397433,0.0,0.09125499,0.0,0.0,0.054019473,-27.724567,2.287481,0.7624937,0.192,0.0,0.13950372,0.13999999,0.15999998,28800
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.06,35,9,0.0,1,0.4721115,0.4721115,1.0007571,0.0,0.09982582,0.0,0.0,0.053215224,-25.451208,2.2017095,0.73390317,0.17600001,0.0,0.14940661,0.15999998,0.17999998,32000
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.06,35,10,0.0,1,0.4721115,0.47753,0.98564065,0.10336163,0.10336163,1.0,0.0054185223,0.052422956,-26.589434,2.1684527,0.7228176,0.104,0.0,0.11445243,0.17999998,0.19999997,35200
