mechanism_tag,mechanism,alpha,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post,env_steps
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.063,47,0,1.0,1,1.0,0.4264476,0.98994327,0.10234266,0.10234266,1.0,0.0064475876,0.063,-26.397152,2.1779187,0.7259729,0.19,0.0,0.1483468,0.0,0.0,3200
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.063,47,1,0.0,1,0.4264476,0.4264476,1.0298421,0.0,0.09335934,0.0,0.0,0.063,-27.071619,2.265698,0.7552327,0.17600001,0.0,0.16381386,0.0,0.0,6400
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.063,47,2,0.0,1,0.4264476,0.4264476,1.0905935,0.0,0.08117206,0.0,0.0,0.063,-28.746395,2.3993535,0.79978454,0.208,0.0,0.19917418,0.0,0.0,9600
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.063,47,3,0.0,1,0.4264476,0.4264476,1.0370967,0.0,0.0918128,0.0,0.0,0.063,-27.045174,2.2816584,0.7605528,0.14400001,0.0,0.15086159,0.0,0.0,12800
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.063,47,4,0.0,1,0.4264476,0.4332544,0.9663986,0.10804419,0.10804419,1.0,0.0068067843,0.063,-26.073975,2.1261194,0.7087065,0.23200001,0.0,0.16138199,0.0,0.0,16000
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.063,47,5,0.0,1,0.4332544,0.4332544,1.0162967,0.0,0.09631706,0.0,0.0,0.063,-27.296715,2.2358975,0.7452992,0.16800001,0.0,0.15522248,0.0,0.0,19200
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.063,47,6,0.0,1,0.4332544,0.4332544,1.0050864,0.0,0.09883565,0.0,0.0,0.063,-26.335842,2.2112343,0.73707813,0.17600001,0.0,0.1608628,0.0,0.0,22400
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.063,47,7,0.0,1,0.4332544,0.4332544,1.0494558,0.0,0.08923685,0.0,0.0,0.063,-27.349594,2.3088489,0.7696163,0.136,0.0,0.16357833,0.0,0.0,25600
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.063,47,8,0.0,1,0.4332544,0.4332544,1.0414757,0.0,0.09089173,0.0,0.0,0.063,-26.834076,2.2912922,0.7637641,0.2,0.0,0.15422046,0.0,0.0,28800
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.063,47,9,0.0,1,0.4332544,0.4332544,1.0301522,0.0,0.09329273,0.0,0.0,0.063,-26.897326,2.26638,0.75546,0.208,0.0,0.15365134,0.0,0.0,32000
