mechanism_tag,mechanism,alpha,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post,env_steps
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,0,1.0,1,1.0,0.50493276,1.00588,0.09865519,0.09865519,1.0,0.0049327593,0.05,-26.322607,2.2129803,0.7376601,0.17,0.0,0.1406561,0.0,0.0,3200
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,1,1.0,2,0.50493276,0.0095413,1.0354067,0.092170775,0.092170775,1.0,0.004608539,0.05,-27.19927,2.2779403,0.75931346,0.24000001,0.0,0.13793102,0.0,0.0,6400
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,2,0.0,2,0.0095413,0.014636759,0.9917867,0.101909176,0.101909176,1.0,0.005095459,0.05,-26.019754,2.1819744,0.72732484,0.15200001,0.0,0.13082676,0.0,0.01,9600
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,3,0.0,2,0.014636759,0.019671861,0.99370456,0.10146014,0.10146014,1.0,0.0050351014,0.049626403,-27.323154,2.1861937,0.7287313,0.16000001,0.0,0.13336188,0.01,0.02,12800
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,4,0.0,2,0.019671861,0.019671861,1.0722753,0.0,0.08466905,0.0,0.0,0.0492556,-27.838577,2.3590527,0.7863509,0.096,0.0,0.14840502,0.02,0.03,16000
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,5,0.0,2,0.019671861,0.024455497,1.0094402,0.097849764,0.097849764,1.0,0.0047836364,0.048887562,-26.561377,2.2208128,0.740271,0.16000001,0.0,0.1580116,0.03,0.04,19200
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,6,0.0,2,0.024455497,0.029088069,1.0201191,0.09547307,0.09547307,1.0,0.0046325712,0.04852228,-27.306166,2.2443068,0.7481023,0.216,0.008,0.17779735,0.04,0.049999997,22400
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,7,0.0,2,0.029088069,0.033416852,1.0463179,0.08988393,0.08988393,1.0,0.004328785,0.048159722,-27.556913,2.3019454,0.76731515,0.17600001,0.008,0.15537989,0.049999997,0.059999995,25600
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,8,0.0,2,0.033416852,0.037945278,1.0234797,0.09473714,0.09473714,1.0,0.004528424,0.047799878,-27.525427,2.2517004,0.75056684,0.18400002,0.0,0.14523557,0.059999995,0.06999999,28800
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,9,0.0,2,0.037945278,0.037945278,1.06656,0.0,0.08579064,0.0,0.0,0.047442716,-27.539244,2.346479,0.7821597,0.16000001,0.0,0.14567356,0.06999999,0.07999999,32000
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,10,0.0,2,0.037945278,0.04264487,1.0008522,0.09980395,0.09980395,1.0,0.0046995915,0.047088232,-27.446363,2.2019188,0.73397297,0.14400001,0.0,0.15912569,0.07999999,0.08999999,35200
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,11,0.0,2,0.04264487,0.046986453,1.0320069,0.092895165,0.092895165,1.0,0.004341584,0.046736386,-27.137068,2.2704604,0.75682014,0.16000001,0.0,0.16092224,0.08999999,0.09999999,38400
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,12,0.0,2,0.046986453,0.051907796,0.97431415,0.10609278,0.10609278,1.0,0.0049213446,0.046387177,-26.229753,2.143534,0.71451133,0.14400001,0.0,0.13180904,0.09999999,0.109999985,41600
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,13,0.0,2,0.051907796,0.056030143,1.0479963,0.08953723,0.08953723,1.0,0.0041223452,0.046040572,-27.449257,2.3056378,0.768546,0.19999999,0.0,0.16590956,0.109999985,0.11999998,44800
hardzero_plus_depr__c0p50__z1p05__lam0p010__nu0p50__psi0p75,hardzero_plus_depr,0.05,36,14,0.0,2,0.056030143,0.056030143,1.0546831,0.0,0.0881692,0.0,0.0,0.045696564,-27.634941,2.3203492,0.7734498,0.128,0.0,0.119170584,0.11999998,0.12999998,48000
