mechanism_tag,mechanism,alpha,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post,env_steps
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,0,1.0,1,1.0,0.5,1.0543426,0.0,0.08823835,0.0,0.0,0.03,-28.133818,2.3196,0.77320004,0.22,0.0,0.13735205,0.0,0.0,3200
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,1,1.0,2,0.5,0.0031721846,0.9757627,0.10573949,0.10573949,1.0,0.0031721846,0.03,-25.809076,2.146721,0.71557367,0.16800001,0.0,0.13332689,0.0,0.0,6400
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,2,0.0,2,0.0031721846,0.0031721846,1.0287665,0.0,0.093590856,0.0,0.0,0.03,-27.418348,2.2633317,0.7544439,0.16000001,0.0,0.13924105,0.0,0.0,9600
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,3,0.0,2,0.0031721846,0.0031721846,1.0567282,0.0,0.08775497,0.0,0.0,0.03,-27.865595,2.3248487,0.77494955,0.080000006,0.0,0.1622049,0.0,0.0,12800
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,4,0.0,2,0.0031721846,0.0031721846,1.0372632,0.0,0.09177763,0.0,0.0,0.03,-27.88615,2.2820244,0.76067483,0.128,0.0,0.16040678,0.0,0.0,16000
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,5,0.0,2,0.0031721846,0.0031721846,1.0147665,0.0,0.09665704,0.0,0.0,0.03,-27.259226,2.2325308,0.744177,0.18400002,0.0,0.14910515,0.0,0.0,19200
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,6,0.0,2,0.0031721846,0.0061828154,0.99846375,0.100354366,0.100354366,1.0,0.0030106308,0.03,-26.882446,2.196664,0.73222136,0.17600001,0.0,0.14274502,0.0,0.0,22400
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,7,0.0,2,0.0061828154,0.0061828154,1.0548644,0.0,0.0881324,0.0,0.0,0.03,-27.150614,2.320748,0.7735827,0.120000005,0.0,0.16583337,0.0,0.0,25600
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,8,0.0,2,0.0061828154,0.0061828154,1.0244746,0.0,0.094520345,0.0,0.0,0.03,-27.691532,2.253889,0.7512964,0.14400001,0.0,0.18104513,0.0,0.0,28800
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,9,0.0,2,0.0061828154,0.009466054,0.9608188,0.10944129,0.10944129,1.0,0.0032832385,0.03,-26.04252,2.1138437,0.7046146,0.208,0.0,0.14449072,0.0,0.0,32000
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,10,0.0,2,0.009466054,0.009466054,1.0319643,0.0,0.09290427,0.0,0.0,0.03,-28.387926,2.2703667,0.7567889,0.18400002,0.0,0.16004577,0.0,0.0,35200
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,11,0.0,2,0.009466054,0.009466054,1.0182122,0.0,0.09589319,0.0,0.0,0.03,-26.770313,2.2401116,0.74670386,0.136,0.0,0.12059929,0.0,0.0,38400
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,12,0.0,2,0.009466054,0.009466054,1.0437624,0.0,0.0904144,0.0,0.0,0.03,-27.40375,2.2963233,0.7654411,0.14400001,0.0,0.14740478,0.0,0.0,41600
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,13,0.0,2,0.009466054,0.009466054,1.0194255,0.0,0.095625654,0.0,0.0,0.03,-27.863289,2.242781,0.74759364,0.12,0.0,0.16303581,0.0,0.0,44800
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,14,0.0,2,0.009466054,0.009466054,1.0190927,0.0,0.09569898,0.0,0.0,0.03,-27.682657,2.2420487,0.7473496,0.192,0.0,0.13542959,0.0,0.0,48000
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,15,0.0,2,0.009466054,0.009466054,1.0604309,0.0,0.08700998,0.0,0.0,0.03,-28.089787,2.3329945,0.77766484,0.128,0.0,0.14105543,0.0,0.0,51200
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,16,0.0,2,0.009466054,0.009466054,1.0283401,0.0,0.09368282,0.0,0.0,0.03,-28.409437,2.2623935,0.7541312,0.128,0.0,0.16124204,0.0,0.0,54400
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,17,0.0,2,0.009466054,0.009466054,1.0425718,0.0,0.09066261,0.0,0.0,0.03,-27.342972,2.2937038,0.764568,0.128,0.0,0.13999338,0.0,0.0,57600
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,18,0.0,2,0.009466054,0.009466054,1.0386194,0.0,0.09149147,0.0,0.0,0.03,-28.028997,2.2850084,0.7616695,0.17600001,0.0,0.14804436,0.0,0.0,60800
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,19,0.0,2,0.009466054,0.01271246,0.9657184,0.10821354,0.10821354,1.0,0.003246406,0.03,-25.866669,2.1246228,0.7082076,0.192,0.0,0.13241717,0.0,0.0,64000
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,20,0.0,2,0.01271246,0.01599775,0.9605475,0.10950968,0.10950968,1.0,0.0032852902,0.03,-26.427877,2.1132467,0.70441556,0.23200001,0.0,0.13182215,0.0,0.0,67200
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,21,0.0,2,0.01599775,0.01599775,1.0482264,0.0,0.08948981,0.0,0.0,0.03,-27.076796,2.306144,0.76871467,0.17600001,0.0,0.13501339,0.0,0.0,70400
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,22,0.0,2,0.01599775,0.01906629,0.9901894,0.10228468,0.10228468,1.0,0.0030685402,0.03,-26.360188,2.1784601,0.7261534,0.128,0.0,0.13093807,0.0,0.0,73600
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,23,0.0,2,0.01906629,0.022665996,0.9208544,0.11999015,0.11999015,1.0,0.0035997042,0.03,-26.120567,2.0259202,0.67530674,0.18400002,0.0,0.14000033,0.0,0.0,76800
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,24,0.0,2,0.022665996,0.022665996,1.0287918,0.0,0.09358542,0.0,0.0,0.03,-26.878378,2.2633872,0.7544624,0.2,0.0,0.15061747,0.0,0.0,80000
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,25,0.0,2,0.022665996,0.022665996,1.0316447,0.0,0.09297267,0.0,0.0,0.03,-26.887766,2.2696636,0.75655454,0.16000001,0.0,0.16394669,0.0,0.0,83200
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,26,0.0,2,0.022665996,0.02580094,0.98089135,0.10449815,0.10449815,1.0,0.0031349445,0.03,-27.572058,2.158004,0.7193347,0.13,0.0,0.19284081,0.0,0.0,86400
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,27,0.0,2,0.02580094,0.02580094,1.0080475,0.0,0.09816407,0.0,0.0,0.03,-26.873148,2.2177486,0.7392496,0.192,0.0,0.15230784,0.0,0.0,89600
hardzero_only__c0p50__z1p00__lam0p000__nu0p50__psi0p00,hardzero_only,0.03,31,28,0.0,2,0.02580094,0.02580094,1.0231347,0.0,0.09481243,0.0,0.0,0.03,-26.993876,2.2509413,0.75031376,0.16000001,0.0,0.14352998,0.0,0.0,92800
