mechanism_tag,alpha,family,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,energy_E_raw,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,support_s,debt_charge,debt_level_pre,debt_level_post,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,0,1.0,1,1.0,0.42000002,0.42000002,1.0543426,0.0,0.08823835,0.0,0.0,0.162,0.0,0.0,0.0,0.0,-28.133818,2.3196,0.77320004,0.22,0.0,0.13735205,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,1,1.0,2,0.42000002,-0.14287017,-0.14287017,0.9757627,0.10573949,0.10573949,1.0,0.017129797,0.162,0.0,0.0,0.0,0.14287017,-25.809076,2.146721,0.71557367,0.16800001,0.0,0.13332687,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,2,0.0,2,-0.14287017,-0.14287017,-0.14287017,1.0287665,0.0,0.093590856,0.0,0.0,0.162,0.0,0.0,0.14287017,0.14287017,-27.418348,2.2633317,0.7544439,0.16000001,0.0,0.13924105,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,3,0.0,2,-0.14287017,-0.14287017,-0.14287017,1.0567282,0.0,0.08775497,0.0,0.0,0.162,0.0,0.0,0.14287017,0.14287017,-27.865595,2.3248487,0.77494955,0.080000006,0.0,0.1622049,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,4,0.0,2,-0.14287017,-0.14287017,-0.14287017,1.0372632,0.0,0.09177763,0.0,0.0,0.162,0.0,0.0,0.14287017,0.14287017,-27.88615,2.2820244,0.76067483,0.128,0.0,0.16040678,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,5,0.0,2,-0.14287017,-0.14287017,-0.14287017,1.0147665,0.0,0.09665704,0.0,0.0,0.162,0.0,0.0,0.14287017,0.14287017,-27.259226,2.2325308,0.744177,0.18400002,0.0,0.14910515,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,6,0.0,2,-0.14287017,-0.12661277,-0.12661277,0.99846375,0.100354366,0.100354366,1.0,0.016257407,0.162,0.0,0.0,0.14287017,0.12661277,-26.882446,2.196664,0.73222136,0.17600001,0.0,0.14274502,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,7,0.0,2,-0.12661277,-0.12661277,-0.12661277,1.0548644,0.0,0.0881324,0.0,0.0,0.162,0.0,0.0,0.12661277,0.12661277,-27.150614,2.320748,0.7735827,0.120000005,0.0,0.16583337,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,8,0.0,2,-0.12661277,-0.12661277,-0.12661277,1.0244746,0.0,0.094520345,0.0,0.0,0.162,0.0,0.0,0.12661277,0.12661277,-27.691532,2.253889,0.7512964,0.14400001,0.0,0.18104511,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,9,0.0,2,-0.12661277,-0.10888328,-0.10888328,0.9608188,0.10944129,0.10944129,1.0,0.01772949,0.162,0.0,0.0,0.12661277,0.10888328,-26.04252,2.1138437,0.7046146,0.208,0.0,0.14449072,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,10,0.0,2,-0.10888328,-0.10888328,-0.10888328,1.0319643,0.0,0.09290427,0.0,0.0,0.162,0.0,0.0,0.10888328,0.10888328,-28.387926,2.2703667,0.7567889,0.18400002,0.0,0.16004577,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,11,0.0,2,-0.10888328,-0.10888328,-0.10888328,1.0182122,0.0,0.09589319,0.0,0.0,0.162,0.0,0.0,0.10888328,0.10888328,-26.770313,2.2401116,0.74670386,0.136,0.0,0.12059929,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,12,0.0,2,-0.10888328,-0.10888328,-0.10888328,1.0437624,0.0,0.0904144,0.0,0.0,0.162,0.0,0.0,0.10888328,0.10888328,-27.40375,2.2963233,0.7654411,0.14400001,0.0,0.14740476,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,13,0.0,2,-0.10888328,-0.10888328,-0.10888328,1.0194255,0.0,0.095625654,0.0,0.0,0.162,0.0,0.0,0.10888328,0.10888328,-27.863289,2.242781,0.74759364,0.12,0.0,0.16303581,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,14,0.0,2,-0.10888328,-0.10888328,-0.10888328,1.0190927,0.0,0.09569898,0.0,0.0,0.162,0.0,0.0,0.10888328,0.10888328,-27.682657,2.2420487,0.7473496,0.192,0.0,0.13542958,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,15,0.0,2,-0.10888328,-0.10888328,-0.10888328,1.0604309,0.0,0.08700998,0.0,0.0,0.162,0.0,0.0,0.10888328,0.10888328,-28.089787,2.3329945,0.77766484,0.128,0.0,0.14105543,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,16,0.0,2,-0.10888328,-0.10888328,-0.10888328,1.0283401,0.0,0.09368282,0.0,0.0,0.162,0.0,0.0,0.10888328,0.10888328,-28.409437,2.2623935,0.7541312,0.128,0.0,0.16124204,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,17,0.0,2,-0.10888328,-0.10888328,-0.10888328,1.0425718,0.0,0.09066261,0.0,0.0,0.162,0.0,0.0,0.10888328,0.10888328,-27.342972,2.2937038,0.764568,0.128,0.0,0.13999338,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,18,0.0,2,-0.10888328,-0.10888328,-0.10888328,1.0386194,0.0,0.09149147,0.0,0.0,0.162,0.0,0.0,0.10888328,0.10888328,-28.028997,2.2850084,0.7616695,0.17600001,0.0,0.14804436,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,19,0.0,2,-0.10888328,-0.09135269,-0.09135269,0.9657184,0.10821354,0.10821354,1.0,0.017530592,0.162,0.0,0.0,0.10888328,0.09135269,-25.866669,2.1246228,0.7082076,0.192,0.0,0.13241717,0.0,0.0
hardzero_only__c0p58__z1p00__lam0p000__nu0p50__psi0p00,0.162,borrow,31,20,0.0,2,-0.09135269,-0.07361212,-0.07361212,0.9605475,0.10950968,0.10950968,1.0,0.017740568,0.162,0.0,0.0,0.09135269,0.07361212,-26.427877,2.1132467,0.70441556,0.23200001,0.0,0.13182215,0.0,0.0
