mechanism_tag,mechanism,alpha,seed,update,update_u,update_counter,energy_E_pre,energy_E_post,funding_z,funding_g,funding_g_raw,funding_cut_active,funding_income,funding_alpha_eff,episode_return_end_mean,terminal_min_dists_end_mean,terminal_dbar_end,terminal_occupied_end_mean,terminal_CSR_train,vartd_VarTD,depr_F,depr_F_post,env_steps
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,0,1.0,1,1.0,0.45999998,1.0714711,0.0,0.084825985,0.0,0.0,0.08,-28.596724,2.3572836,0.78576124,0.16,0.0,0.20661528,0.0,0.0,3200
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,1,0.0,1,0.45999998,0.4680233,0.9987352,0.100291654,0.100291654,1.0,0.008023332,0.08,-26.705421,2.1972613,0.73242044,0.15200001,0.0,0.17359541,0.0,0.02,6400
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,2,0.0,1,0.4680233,0.4759254,0.9988335,0.10026896,0.10026896,1.0,0.007902092,0.078808956,-26.574064,2.1974776,0.73249257,0.18400002,0.0,0.1798438,0.02,0.04,9600
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,3,0.0,1,0.4759254,0.4759254,1.0589373,0.0,0.08730974,0.0,0.0,0.077635646,-27.474997,2.3297086,0.77656955,0.14400001,0.0,0.1917905,0.04,0.06,12800
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,4,0.0,1,0.4759254,0.4759254,1.0235476,0.0,0.09472232,0.0,0.0,0.0764798,-27.26754,2.25185,0.75061667,0.17600001,0.0,0.18431844,0.06,0.08,16000
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,5,0.0,1,0.4759254,0.4759254,1.0551502,0.0,0.08807443,0.0,0.0,0.075341165,-27.7954,2.3213766,0.7737922,0.17600001,0.0,0.19830869,0.08,0.099999994,19200
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,6,0.0,1,0.4759254,0.4759254,1.0515873,0.0,0.08879994,0.0,0.0,0.07421948,-27.45228,2.3135383,0.77117944,0.136,0.0,0.19015664,0.099999994,0.11999999,22400
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,7,0.0,1,0.4759254,0.48343045,0.98864996,0.1026479,0.1026479,1.0,0.00750505,0.0731145,-26.503328,2.1750734,0.72502446,0.136,0.0,0.17035523,0.11999999,0.13999999,25600
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,8,0.0,1,0.48343045,0.4912977,0.96166587,0.10922804,0.10922804,1.0,0.007867254,0.07202596,-25.61951,2.1157072,0.7052357,0.15200001,0.0,0.17170142,0.13999999,0.15999998,28800
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,9,0.0,1,0.4912977,0.4912977,1.006964,0.0,0.09840928,0.0,0.0,0.07095364,-27.10208,2.215365,0.738455,0.136,0.0,0.19341004,0.15999998,0.17999998,32000
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,10,0.0,1,0.4912977,0.4912977,1.0197061,0.0,0.095563896,0.0,0.0,0.06989727,-26.953886,2.2433982,0.7477994,0.17600001,0.0,0.21232758,0.17999998,0.19999997,35200
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,11,0.0,1,0.4912977,0.4912977,1.0368459,0.0,0.09186585,0.0,0.0,0.06885664,-27.832579,2.2811065,0.7603688,0.17600001,0.0,0.19320141,0.19999997,0.21999997,38400
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,12,0.0,1,0.4912977,0.4912977,1.0822515,0.0,0.08274628,0.0,0.0,0.0678315,-28.070646,2.381001,0.793667,0.08800001,0.0,0.18273392,0.21999997,0.23999996,41600
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,13,0.0,1,0.4912977,0.4912977,1.0040493,0.0,0.09907195,0.0,0.0,0.06682162,-27.403282,2.2089527,0.7363176,0.13,0.0,0.17682803,0.23999996,0.25999996,44800
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,14,0.0,1,0.4912977,0.4912977,1.0150512,0.0,0.096593685,0.0,0.0,0.06582677,-27.119398,2.2331574,0.74438584,0.192,0.0,0.16502015,0.25999996,0.27999997,48000
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,15,0.0,1,0.4912977,0.49786726,0.9943521,0.10130897,0.10130897,1.0,0.0065695564,0.06484674,-26.269735,2.1876183,0.7292061,0.17600001,0.0,0.17845178,0.27999997,0.29999998,51200
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,16,0.0,1,0.49786726,0.49786726,1.0220087,0.0,0.095058575,0.0,0.0,0.06388129,-27.672714,2.2484639,0.749488,0.14400001,0.0,0.19178121,0.29999998,0.32,54400
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,17,0.0,1,0.49786726,0.49786726,1.0099757,0.0,0.0977292,0.0,0.0,0.06293023,-26.564308,2.2219908,0.74066365,0.14400001,0.0,0.1952307,0.32,0.34,57600
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,18,0.0,1,0.49786726,0.49786726,1.0298036,0.0,0.093367636,0.0,0.0,0.06199332,-27.7208,2.2656133,0.75520444,0.14400001,0.0,0.18434344,0.34,0.36,60800
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,19,0.0,1,0.49786726,0.5040019,0.99804056,0.1004522,0.1004522,1.0,0.006134652,0.06107036,-26.115839,2.195733,0.73191106,0.15200001,0.0,0.19479086,0.36,0.38000003,64000
hardzero_plus_depr__c0p54__z1p00__lam0p020__nu0p50__psi0p75,hardzero_plus_depr,0.08,37,20,0.0,1,0.5040019,0.5040019,1.0225654,0.0,0.09493682,0.0,0.0,0.06016114,-26.850908,2.2496886,0.7498962,0.17600001,0.0,0.18291828,0.38000003,0.40000004,67200
